embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date
XGLM-T,merged,3,LightGBM,reg,mean,6120,142.58347947300354,0.0023938285882361375,2025-08-21 22:09:39.840063
XGLM-T,merged,3,LightGBM,reg,mmm,6120,140.94444206901244,0.0023727177028239816,2025-08-21 22:12:01.288367
mDeBERTa-T,merged,3,LightGBM,reg,mean,6120,73.88126960900263,0.0012021741404548633,2025-08-21 22:13:15.684799
mDeBERTa-T,merged,3,LightGBM,reg,mmm,6120,74.38340719499683,0.0012130794774229243,2025-08-21 22:14:30.584497
XLM-R-T,merged,3,LightGBM,reg,mean,6120,53.43049145200348,0.0008410353827199244,2025-08-21 22:15:24.527441
XLM-R-T,merged,3,LightGBM,reg,mmm,6120,51.726086932001635,0.0008155851013047417,2025-08-21 22:16:16.765312
BGE-M3-S,merged,3,LightGBM,reg,mean,6120,123.94072964899533,0.002065211032958496,2025-08-21 22:18:21.221893
BGE-M3-S,merged,3,LightGBM,reg,mmm,6120,122.83453729900066,0.0020517135486899487,2025-08-21 22:20:24.577840
MiniLM-S,merged,3,LightGBM,reg,mean,6120,54.30876074801199,0.0006262440098941087,2025-08-21 22:21:19.402062
MiniLM-S,merged,3,LightGBM,reg,mmm,6120,54.2166671439918,0.0006168541738246623,2025-08-21 22:22:14.138309
mE5-S,merged,3,LightGBM,reg,mean,6120,53.86101950799639,0.0006046504010671801,2025-08-21 22:23:08.521598
mE5-S,merged,3,LightGBM,reg,mmm,6120,54.30332521798846,0.0006124687614236352,2025-08-21 22:24:03.345284
MPNet-S,merged,3,LightGBM,reg,mean,6120,60.463126922011725,0.0009412589904566264,2025-08-21 22:25:04.326692
MPNet-S,merged,3,LightGBM,reg,mmm,6120,59.793462453002576,0.0009366869570771688,2025-08-21 22:26:04.634948
mBERT-T,merged,3,LogisticRegression,reg,mean,6120,59.3280629869987,0.0009564344936484402,2025-08-21 22:27:04.468920
mBERT-T,merged,3,LogisticRegression,reg,mmm,6120,60.174588566005696,0.0009686113202378889,2025-08-21 22:28:05.148625
mT5-T,merged,3,LogisticRegression,reg,mean,6120,64.63479163899319,0.0010282242530706676,2025-08-21 22:29:10.300422
mT5-T,merged,3,LogisticRegression,reg,mmm,6120,65.37744118200499,0.0011585734542994951,2025-08-21 22:30:16.194412
XGLM-T,merged,3,LogisticRegression,reg,mean,6120,141.39763556499383,0.0023763329313992083,2025-08-21 22:32:38.095552
XGLM-T,merged,3,LogisticRegression,reg,mmm,6120,140.94913131999783,0.002381651368063487,2025-08-21 22:34:59.549486
mDeBERTa-T,merged,3,LogisticRegression,reg,mean,6120,73.70105339399015,0.0011986900154415192,2025-08-21 22:36:13.764281
mDeBERTa-T,merged,3,LogisticRegression,reg,mmm,6120,74.34927256801166,0.0012129513555744844,2025-08-21 22:37:28.628620
XLM-R-T,merged,3,LogisticRegression,reg,mean,6120,54.400738612996065,0.0008453569989879691,2025-08-21 22:38:23.539650
XLM-R-T,merged,3,LogisticRegression,reg,mmm,6120,52.13717118599743,0.0008263193599547152,2025-08-21 22:39:16.187692
BGE-M3-S,merged,3,LogisticRegression,reg,mean,6120,122.92814752800041,0.002051042354905608,2025-08-21 22:41:19.633202
BGE-M3-S,merged,3,LogisticRegression,reg,mmm,6120,123.10082757000055,0.0020556890314024434,2025-08-21 22:43:23.251180
MiniLM-S,merged,3,LogisticRegression,reg,mean,6120,53.9999777609919,0.000622227152315863,2025-08-21 22:44:17.768400
MiniLM-S,merged,3,LogisticRegression,reg,mmm,6120,54.123403930003406,0.0006165124542800336,2025-08-21 22:45:12.413039
mE5-S,merged,3,LogisticRegression,reg,mean,6120,54.203840618996765,0.0006083605242302029,2025-08-21 22:46:07.134815
mE5-S,merged,3,LogisticRegression,reg,mmm,6120,53.49463693499274,0.0006028974104133743,2025-08-21 22:47:01.145095
MPNet-S,merged,3,LogisticRegression,reg,mean,6120,58.74889247500687,0.000922757900537633,2025-08-21 22:48:00.410323
MPNet-S,merged,3,LogisticRegression,reg,mmm,6120,60.9982831840025,0.0009572528242292016,2025-08-21 22:49:01.925463
mBERT-T,merged,3,RandomForest,reg,mean,6120,62.22248835199571,0.0010056985064902202,2025-08-21 22:50:04.654171
mBERT-T,merged,3,RandomForest,reg,mmm,6120,62.56069334199128,0.0010109746899810835,2025-08-21 22:51:07.720272
mT5-T,merged,3,RandomForest,reg,mean,6120,67.11182725100662,0.0010684081354610494,2025-08-21 22:52:15.348196
mT5-T,merged,3,RandomForest,reg,mmm,6120,69.4616604019975,0.0010994723038831736,2025-08-21 22:53:25.329113
XGLM-T,merged,3,RandomForest,reg,mean,6120,146.49770866600738,0.0024620082527427563,2025-08-21 22:55:52.330694
XGLM-T,merged,3,RandomForest,reg,mmm,6120,145.84968687999935,0.0024508498929488526,2025-08-21 22:58:18.684524
mDeBERTa-T,merged,3,RandomForest,reg,mean,6120,76.87360243999865,0.001258630569686661,2025-08-21 22:59:36.079793
mDeBERTa-T,merged,3,RandomForest,reg,mmm,6120,74.9029343680013,0.0012172751334949417,2025-08-21 23:00:51.500227
XLM-R-T,merged,3,RandomForest,reg,mean,6120,55.688722085003974,0.0008774954795558588,2025-08-21 23:01:47.701197
XLM-R-T,merged,3,RandomForest,reg,mmm,6120,54.75221854299889,0.0008658473510992651,2025-08-21 23:02:42.965133
BGE-M3-S,merged,3,RandomForest,reg,mean,6120,127.49413519099471,0.002118864432634122,2025-08-21 23:04:50.981950
BGE-M3-S,merged,3,RandomForest,reg,mmm,6120,124.67753570800414,0.0020808832004344845,2025-08-21 23:06:56.175963
MiniLM-S,merged,3,RandomForest,reg,mean,6120,56.70638830200187,0.0006487962640968198,2025-08-21 23:07:53.406232
MiniLM-S,merged,3,RandomForest,reg,mmm,6120,57.594623977012816,0.0006576306623749408,2025-08-21 23:08:51.517652
mE5-S,merged,3,RandomForest,reg,mean,6120,56.948964686002,0.0006425691230623339,2025-08-21 23:09:48.986732
mE5-S,merged,3,RandomForest,reg,mmm,6120,57.06631490500877,0.0006433733049245721,2025-08-21 23:10:46.574225
MPNet-S,merged,3,RandomForest,reg,mean,6120,63.34708046600281,0.0009839626850471491,2025-08-21 23:11:50.437913
MPNet-S,merged,3,RandomForest,reg,mmm,6120,63.32159151900851,0.000982733469741871,2025-08-21 23:12:54.275905
mBERT-T,merged,3,XGBoost,reg,mean,6120,59.95307117199991,0.0009654075042497685,2025-08-21 23:13:54.735664
mBERT-T,merged,3,XGBoost,reg,mmm,6120,60.97569650100195,0.000981132681284578,2025-08-21 23:14:56.224423
mT5-T,merged,3,XGBoost,reg,mean,6120,65.42633350699907,0.0010390122604607558,2025-08-21 23:16:02.171931
mT5-T,merged,3,XGBoost,reg,mmm,6120,65.43726901100308,0.0010367935898520806,2025-08-21 23:17:08.129589
XGLM-T,merged,3,XGBoost,reg,mean,6120,141.20622419200663,0.0023771671119150795,2025-08-21 23:19:29.859814
XGLM-T,merged,3,XGBoost,reg,mmm,6120,141.36485737899784,0.002381748602322145,2025-08-21 23:21:51.732994
mDeBERTa-T,merged,3,XGBoost,reg,mean,6120,74.38052742600848,0.0012113440113871252,2025-08-21 23:23:06.634310
mDeBERTa-T,merged,3,XGBoost,reg,mmm,6120,74.85604003800836,0.0012188865893898808,2025-08-21 23:24:22.009347
XLM-R-T,merged,3,XGBoost,reg,mean,6120,52.545061295997584,0.0008307368393200182,2025-08-21 23:25:15.074536
XLM-R-T,merged,3,XGBoost,reg,mmm,6120,52.52559084400127,0.0008328572256977645,2025-08-21 23:26:08.118804
BGE-M3-S,merged,3,XGBoost,reg,mean,6120,124.42756324801303,0.0020749449179016527,2025-08-21 23:28:13.065697
BGE-M3-S,merged,3,XGBoost,reg,mmm,6120,122.55921405900153,0.0020493183588353456,2025-08-21 23:30:16.145206
MiniLM-S,merged,3,XGBoost,reg,mean,6120,55.217458877988975,0.0006338134783501851,2025-08-21 23:31:11.882508
MiniLM-S,merged,3,XGBoost,reg,mmm,6120,55.03810393199092,0.0006264542771944761,2025-08-21 23:32:07.440619
mE5-S,merged,3,XGBoost,reg,mean,6120,55.546252669999376,0.0006237798635678548,2025-08-21 23:33:03.507478
mE5-S,merged,3,XGBoost,reg,mmm,6120,54.578269783989526,0.0006159450956627455,2025-08-21 23:33:58.605974
MPNet-S,merged,3,XGBoost,reg,mean,6120,60.110552301004645,0.0009436018114870785,2025-08-21 23:34:59.250602
MPNet-S,merged,3,XGBoost,reg,mmm,6120,60.68688715901226,0.0009527268530580509,2025-08-21 23:36:00.461216
mBERT-T,merged,3,GaussianNB,reg,mean,6120,59.41919500900258,0.0009545360180658737,2025-08-21 23:37:00.389915
mBERT-T,merged,3,GaussianNB,reg,mmm,6120,60.226269213002524,0.0009731204311853915,2025-08-21 23:38:01.122626
mT5-T,merged,3,GaussianNB,reg,mean,6120,63.5317337650049,0.001008312472967876,2025-08-21 23:39:05.170590
mT5-T,merged,3,GaussianNB,reg,mmm,6120,64.54524916599621,0.0010275801890055687,2025-08-21 23:40:10.238964
XGLM-T,merged,3,GaussianNB,reg,mean,6120,140.528086300008,0.0023615053695092334,2025-08-21 23:42:31.271097
XGLM-T,merged,3,GaussianNB,reg,mmm,6120,142.03996744699543,0.0023852532869864185,2025-08-21 23:44:53.815013
mDeBERTa-T,merged,3,GaussianNB,reg,mean,6120,73.91629021600238,0.001201789744373654,2025-08-21 23:46:08.246722
